features,S00Q1-0001,S00Q1-0020,S00Q1-0028,S00Q1-0030,S00Q1-0011,DNA-3CLD,S00Q1-0027,S00Q1-0008,S00Q1-0012,S00Q1-0004,S00Q1-0025,S00Q1-0024,S00Q1-0007,DNA-3CLC,S00Q1-0018,S00Q1-0026,S00Q1-0002,S00Q1-0019,S00Q1-0022,S00Q1-0006,S00Q1-0029,S00Q1-0003,S00Q1-0023,S00Q1-0013,S00Q1-0021,S00Q1-0010,S00Q1-0014,S00Q1-0017,S00Q1-0015,S00Q1-0005,S00Q1-0016,S00Q1-0009
k__Bacteria; p__; c__; o__; f__; g__; s__,18130,21414,29276,13010,780,89,13501,13488,354,50715,22545,13869,15653,71,6561,24842,17709,29748,23029,51682,10473,40371,27849,179,9787,49119,29942,52644,40067,44765,47957,12059
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces; s__gaoshouyii,1034,2348,4069,4723,118,3,9814,5209,12,1893,5718,4519,4580,4,415,2053,4158,5058,1606,1081,4628,848,6662,8,1010,6209,3986,3094,13722,5591,5607,5643
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces; s__wuliandei,952,2537,4982,5145,181,1,2664,5621,6,1753,6523,4904,4731,4,543,1806,3643,5731,1717,1098,5128,1157,7907,5,933,7622,4239,3268,4334,6635,4179,5804
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Actinomycetales; f__Actinomycetaceae; g__Schaalia; s__,14130,12198,51,2123,340,2,1008,1866,60,979,1024,1072,3490,4,1537,7762,12079,11308,426,747,567,27643,183,5,3440,1699,619,9508,3462,1332,1233,3848
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Actinomycetales; f__Actinomycetaceae; g__Schaalia; s__odontolytica,1395953,1250925,18450,558953,67260,324,111819,555123,7207,221544,509918,449406,705141,328,177571,1142142,1697527,1218703,32540,82681,195470,4130797,46498,608,320285,342215,197808,3320277,330830,624769,311197,872648
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Actinomycetales; f__Actinomycetaceae; g__Schaalia; s__meyeri,47759,44467,440,8771,661,5,7546,5940,166,5193,4245,4743,10142,8,3102,17655,49773,37738,2885,3187,2449,119618,657,12,10278,7987,1416,30525,17850,4016,6501,12665
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Actinomycetales; f__Actinomycetaceae; g__Schaalia; s__sp. 19OD2882,3303,2290,685,708,24,0,1052,407,10,554,797,173,781,2,535,2085,3050,2571,470,358,215,6785,695,0,941,2046,506,1722,4190,835,518,538
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Actinomycetales; f__Actinomycetaceae; g__Schaalia; s__sp. ZJ405,2264,1399,28,97,6,0,126,351,3,101,215,129,573,0,508,1632,1997,1359,94,86,106,5029,90,2,711,235,76,1208,502,99,158,108
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Actinomycetales; f__Actinomycetaceae; g__Schaalia; s__sp. JY-X169,411,200,19,55,5,0,50,199,1,62,62,94,266,0,167,280,289,292,45,63,123,853,75,0,159,90,34,562,176,57,54,88
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Actinomycetales; f__Actinomycetaceae; g__Schaalia; s__turicensis,3842,2743,77,494,35,2,275,826,10,1193,489,364,1389,0,877,2191,3495,2462,165,458,348,6722,127,1,1203,1054,128,3698,887,474,704,508
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Actinomycetales; f__Actinomycetaceae; g__Schaalia; s__cardiffensis,3825,2918,95,551,27,0,650,466,23,734,523,338,939,1,541,2340,3754,3027,251,341,257,7217,186,1,1292,1172,192,2290,2252,401,650,513
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Actinomycetales; f__Actinomycetaceae; g__Schaalia; s__radingae,1238,1242,221,565,10,0,94,651,11,359,883,276,755,3,902,883,953,888,63,449,173,2096,1010,1,428,3782,289,2629,393,3319,694,108
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Actinomycetales; f__Actinomycetaceae; g__Pauljensenia; s__hongkongensis,9954,9027,1763,117523,817,43,298535,3160,118,62574,8061,2679,4155,201,1300,5833,9125,8335,118142,49515,2398,22565,2768,76,2995,307562,3176,5781,1100516,2060,43444,28341
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Actinomycetales; f__Actinomycetaceae; g__Arcanobacterium; s__,45,41,30,58,2,0,96,105,0,87,24,88,81,0,19,53,38,44,78,28,52,360,6,0,10,14,18,50,104,15,84,158
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Actinomycetales; f__Actinomycetaceae; g__Arcanobacterium; s__haemolyticum,1156,156,11,62,0,1,5,202,4,86,275,90,195,0,257,891,1380,177,30,46,49,574,11,4,1131,162,15,727,93,25,146,53
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Actinomycetales; f__Actinomycetaceae; g__Arcanobacterium; s__phocisimile,243,65,8,3,1,0,3,75,0,16,10,12,72,0,78,234,176,151,16,6,7,317,11,0,117,16,3,233,51,19,66,2
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Actinomycetales; f__Actinomycetaceae; g__Arcanobacterium; s__pinnipediorum,174,105,11,1,0,0,4,48,0,12,31,17,67,0,72,108,135,100,11,8,17,659,17,0,57,29,2,141,12,19,27,9
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Actinomycetales; f__Actinomycetaceae; g__Arcanobacterium; s__phocae,143,63,0,3,0,0,9,24,0,14,20,8,36,0,52,98,97,57,39,29,12,158,0,0,72,22,2,113,22,14,22,8
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Actinomycetales; f__Actinomycetaceae; g__Arcanobacterium; s__sp. 2701,43,14,2,1,0,0,8,16,3,9,7,17,36,0,26,42,25,34,5,10,5,47,13,0,10,23,3,78,8,1,16,4
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Actinomycetales; f__Actinomycetaceae; g__Trueperella; s__,46,26,1,5,1,0,1,14,0,22,24,7,15,0,23,34,20,43,6,35,7,138,10,0,21,35,9,98,45,3,57,22
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Actinomycetales; f__Actinomycetaceae; g__Trueperella; s__pyogenes,724,579,58,246,25,1,167,268,2,324,678,138,354,1,289,483,634,606,110,322,144,1868,233,0,272,1148,127,999,775,569,456,598
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Actinomycetales; f__Actinomycetaceae; g__Trueperella; s__pecoris,590,413,129,114,5,0,78,197,3,323,263,116,280,0,205,363,461,519,172,166,67,1023,146,0,228,375,100,880,609,134,559,84
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Actinomycetales; f__Actinomycetaceae; g__Trueperella; s__bialowiezensis,132,84,20,223,12,0,53,59,0,142,197,18,100,0,70,108,105,64,84,127,20,358,94,0,50,124,32,190,249,58,274,700
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Actinomycetales; f__Actinomycetaceae; g__Nanchangia; s__anserum,893,629,202,81,8,0,47,103,0,394,299,65,232,0,104,438,821,690,79,135,56,1304,180,0,270,172,91,518,264,163,252,75
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Actinomycetales; f__Actinomycetaceae; g__Flaviflexus; s__,2,1,11,3,0,0,3,1,0,42,21,0,5,0,15,1,0,7,4,7,0,7,5,0,1,40,1,23,39,1,48,0
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Actinomycetales; f__Actinomycetaceae; g__Flaviflexus; s__ciconiae,358,158,39,210,8,0,109,141,1,135,301,93,242,0,144,376,290,229,63,74,75,371,51,2,147,168,33,525,300,62,293,805
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Actinomycetales; f__Actinomycetaceae; g__Flaviflexus; s__salsibiostraticola,320,266,105,96,5,1,685,199,0,678,237,350,193,0,50,235,264,330,391,132,241,698,118,0,111,288,109,149,798,108,574,67
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Actinomycetales; f__Actinomycetaceae; g__Flaviflexus; s__equikiangi,144,121,132,53,2,0,43,28,0,188,113,31,60,0,51,178,115,179,59,135,12,383,121,0,66,169,175,217,341,131,237,24
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Actinomycetales; f__Actinomycetaceae; g__Mobiluncus; s__curtisii,451,645,194,1539,55,0,24,363,2,161,1544,695,205,0,84,129,473,444,31,262,253,424,702,2,81,2824,205,352,89,1804,321,4224
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Actinomycetales; f__Actinomycetaceae; g__Boudabousia; s__tangfeifanii,353,156,61,190,6,0,57,156,1,45,310,60,233,0,147,297,296,196,65,31,58,555,77,0,182,90,76,381,67,75,51,276
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Actinomycetales; f__Actinomycetaceae; g__Actinobaculum; s__sp. 313,348,188,165,94,10,0,150,79,2,660,268,74,125,1,93,387,193,281,239,190,63,446,199,0,149,381,139,367,1590,174,1345,143
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Actinomycetales; f__Actinomycetaceae; g__Changpingibacter; s__yushuensis,255,162,35,121,4,0,70,44,0,398,260,9,72,0,61,193,204,207,105,525,16,545,124,0,109,220,42,109,606,57,479,18
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Actinomycetales; f__Actinomycetaceae; g__Varibaculum; s__prostatecancerukia,213,321,38,209,4,0,20,186,0,131,355,14,54,0,49,128,180,189,33,166,13,407,324,0,67,1310,104,137,51,1080,219,10
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Actinomycetales; f__Actinomycetaceae; g__Actinotignum; s__schaalii,197,161,31,53,6,0,113,57,3,356,226,72,193,0,70,193,159,256,78,169,38,208,61,0,91,218,42,325,286,115,246,31
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Actinomycetales; f__Actinomycetaceae; g__Fannyhessea; s__vaginae,43,144,24,114,0,0,17,14,0,528,271,106,40,0,13,73,61,63,85,397,11,179,63,0,19,997,8,459,88,167,249,70
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Micrococcales; f__; g__; s__,4184,4182,3316,1891,81,2,1572,2154,11,3290,3702,2134,2576,3,943,2789,3688,6013,981,2114,2075,8264,3179,6,1325,5175,2670,6215,5704,3404,3104,1613
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Micrococcales; f__Micrococcaceae; g__; s__,1180,839,563,459,32,0,300,704,4,608,794,808,692,0,370,793,793,1063,301,516,647,1254,983,5,469,883,717,1972,821,948,682,999
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Micrococcales; f__Micrococcaceae; g__Rothia; s__,56278,29053,6879,5288,269,15,2422,20397,45,464,1018,26844,8736,6,7041,41470,21829,22892,2454,568,10478,7388,5513,223,30012,306,7584,6884,4221,1211,2180,6761
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Micrococcales; f__Micrococcaceae; g__Rothia; s__dentocariosa,2000339,1050562,98106,225790,6398,649,14507,959985,1193,3384,65001,1732216,352471,256,186173,1380070,1300304,782121,17099,3457,797041,476685,287563,6149,1076204,24432,24694,234036,16317,59584,40507,214936
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Micrococcales; f__Micrococcaceae; g__Rothia; s__aeria,157896,72689,502271,23001,716,107,203149,59355,231,42742,4374,100211,24808,109,12629,103011,91376,55193,189927,35771,47953,36134,96362,451,84109,2396,415215,19557,277082,57526,160202,20599
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Micrococcales; f__Micrococcaceae; g__Rothia; s__mucilaginosa,22193,9744,518,10627,236,20,2338,34731,43,1567,3734,26760,39010,19,34783,40844,19415,11155,2416,3888,44551,74726,1008,101,10533,6777,1108,178803,7343,3501,9132,7742
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Micrococcales; f__Micrococcaceae; g__Rothia; s__terrae,416,244,9,82,2,0,16,157,0,17,22,160,147,0,131,401,268,198,16,107,99,307,15,0,214,59,22,441,45,6,51,46
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Micrococcales; f__Micrococcaceae; g__Rothia; s__sp. ZJ932,312,130,9,17,0,0,24,184,4,21,13,415,157,0,63,230,329,122,5,218,264,126,29,1,202,27,13,225,72,21,42,17
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Micrococcales; f__Micrococcaceae; g__Rothia; s__nasimurium,263,114,194,46,0,0,31,200,0,59,76,161,153,0,141,186,168,102,25,54,156,329,168,3,159,110,164,759,119,134,72,39
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Micrococcales; f__Micrococcaceae; g__Rothia; s__amarae,162,69,20,35,3,1,18,70,1,10,43,87,72,0,34,168,94,107,13,125,58,169,56,0,116,16,18,235,89,43,35,26
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Micrococcales; f__Micrococcaceae; g__Rothia; s__kristinae,116,117,361,100,4,0,51,152,0,261,217,111,123,0,81,124,86,334,64,116,205,444,216,0,40,352,254,714,295,264,175,52
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Micrococcales; f__Micrococcaceae; g__Arthrobacter; s__,333,323,77,86,10,1,86,119,0,126,167,115,124,1,58,232,326,417,81,155,88,505,172,0,140,259,149,266,311,254,181,108
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Micrococcales; f__Micrococcaceae; g__Arthrobacter; s__sp. FW305-BF8,212,122,19,61,2,0,40,54,1,31,70,34,88,0,39,150,143,145,25,12,32,443,171,0,63,89,32,177,118,65,39,50
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Micrococcales; f__Micrococcaceae; g__Arthrobacter; s__sp. zg-Y453,200,199,45,32,1,0,35,58,1,25,76,12,38,0,26,90,208,207,25,56,30,502,114,0,64,58,169,108,62,100,105,40
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Micrococcales; f__Micrococcaceae; g__Arthrobacter; s__sp. PGP41,184,140,85,43,1,0,29,27,0,95,65,9,24,0,29,129,171,165,15,41,22,201,99,0,102,126,60,103,63,124,53,18
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Micrococcales; f__Micrococcaceae; g__Arthrobacter; s__sp. QXT-31,112,129,54,24,1,0,29,26,0,255,112,15,23,0,49,60,92,145,33,54,18,131,50,0,37,127,42,125,74,77,79,29
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Micrococcales; f__Micrococcaceae; g__Arthrobacter; s__sp. KBS0702,107,130,131,50,0,0,51,60,0,32,132,47,168,0,20,22,88,199,41,58,46,109,72,0,29,207,76,388,112,106,79,25
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Micrococcales; f__Micrococcaceae; g__Arthrobacter; s__sp. U41,92,84,74,44,2,0,7,5,0,16,58,6,26,0,11,26,96,88,18,46,3,81,95,0,25,52,37,41,87,81,34,16
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Micrococcales; f__Micrococcaceae; g__Arthrobacter; s__sp. Helios,90,53,34,17,0,0,19,43,1,370,39,28,38,1,44,97,50,85,31,106,27,160,93,0,31,48,25,124,90,50,181,17
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Micrococcales; f__Micrococcaceae; g__Arthrobacter; s__sp. 24S4-2,90,67,23,40,5,0,26,8,1,117,106,17,25,0,7,40,73,126,18,55,10,145,65,0,20,140,22,52,110,54,91,220
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Micrococcales; f__Micrococcaceae; g__Arthrobacter; s__sp. FB24,85,52,24,18,0,0,63,54,0,47,23,34,58,0,16,72,65,72,31,28,32,170,76,0,35,62,17,98,156,17,67,5
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Micrococcales; f__Micrococcaceae; g__Arthrobacter; s__sp. CJ23,66,35,24,38,3,0,41,42,0,60,111,25,36,0,32,44,27,58,25,44,16,92,46,0,19,120,10,115,153,43,67,16
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Micrococcales; f__Micrococcaceae; g__Arthrobacter; s__sp. StoSoilB5,57,76,68,32,3,0,20,34,0,21,148,16,33,0,4,5,57,83,11,30,19,55,161,0,17,39,42,74,36,84,47,11
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Micrococcales; f__Micrococcaceae; g__Arthrobacter; s__sp. NicSoilB8,52,27,29,67,13,0,55,197,0,44,110,118,167,1,39,47,49,86,23,69,89,264,128,0,14,104,105,146,182,69,42,238
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Micrococcales; f__Micrococcaceae; g__Arthrobacter; s__sp. NicSoilB4,51,63,21,17,1,0,25,30,2,82,107,9,24,0,15,15,68,106,24,41,6,195,61,0,20,64,24,27,75,30,85,14
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Micrococcales; f__Micrococcaceae; g__Arthrobacter; s__sp. QL17,50,105,81,45,0,0,19,18,0,115,185,19,18,2,16,23,38,161,60,66,31,143,105,0,15,242,50,119,120,118,153,24
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Micrococcales; f__Micrococcaceae; g__Arthrobacter; s__sp. D5-1,43,31,8,6,1,0,8,16,1,16,33,13,13,0,7,43,42,70,10,33,7,70,13,0,31,95,15,28,51,31,57,13
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Micrococcales; f__Micrococcaceae; g__Arthrobacter; s__sp. zg-Y462,43,82,95,49,4,1,20,32,0,43,108,20,21,0,21,56,57,105,21,33,9,220,50,0,24,65,37,259,54,45,71,35
